;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;129;12/1030;15;15;Sauvignon OC Blanc;;2014-03-10;Entrée;15;c132;0;0;0;0;0;0;0;0;0;0;0;0;;
*;130;12/1052;15;0;;;2014-03-20;Retiraison;11;goichot;0;0;0;0;0;0;0;0;0;0;0;0;;
*;131;12/0992;15;6.6;Pinot VDF Rouge;;2014-03-20;Analyse;;;11.62;0.29;0;0;0;0;0;0;0;0;0;0;;
*;132;06/0470;15;12;Grenache OC Rouge;;2014-03-10;Entrée;12;c116;12.17;0.37;0;0;0;0;0;0;0;0;0;0;;
*;133;06/0500;10;4.4;MCR;;2013-10-23;Entrée;4.4;c127;0;0;0;0;0;0;0;0;0;0;0;0;;Analyse
*;134;06/0500;25;20;MCR;;2013-11-03;Entrée;20;preau;0;0;0;0;0;0;0;0;0;0;0;0;;
*;;;;;;;;;;;;;;;;;;;;;;;;
*;;;;29094.29;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;; ;;;;;;;;;;;;;;;;;;;
